Crop,ScientificName,Symbol,Contents Available,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),Average Moisture %,Average Sodium % (dry),Average Phosphorus % (dry),Average Potassium % (dry),,
Acorn,Quercus sp.,QUERC,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,27.90,1.36,0.11,0.75,,
"Alfalfa + Orchardgrass, for hay","Medicago sativa, Dactylis glomerata","MESA, DAGL","N,P",Aboveground biomass,Forage,ton,2000,9.70,2.48,0.27,0.00,,
"Alfalfa + Orchardgrass, for hay (cut 1)","Medicago sativa, Dactylis glomerata","MESA, DAGL","N,P,K",Aboveground biomass,Forage,ton,2000,7.95,2.14,0.20,1.49,,
"Alfalfa + Smooth Brome, for green chop","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P,K",Aboveground biomass,Forage,ton,2000,77.63,3.32,0.31,2.80,,
"Alfalfa + Smooth Brome, for hay","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P,K",Aboveground biomass,Forage,ton,2000,11.58,2.42,0.27,1.90,,
"Alfalfa + Smooth Brome, for hay (cut 1)","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P,K",Aboveground biomass,Forage,ton,2000,10.10,2.19,0.30,1.40,,
"Alfalfa + Smooth Brome, for hay (cut 2)","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P",Aboveground biomass,Forage,ton,2000,10.20,2.19,0.21,0.00,,
"Alfalfa + Timothy, for green chop (50% alfalfa)","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P,K",Aboveground biomass,Forage,ton,2000,78.08,3.36,0.37,2.24,,
"Alfalfa + Timothy, for hay","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P,K",Aboveground biomass,Forage,ton,2000,10.37,2.17,0.21,2.16,,
"Alfalfa + Timothy, for hay (cut 1)","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P",Aboveground biomass,Forage,ton,2000,9.80,1.79,0.14,0.00,,
"Alfalfa + Timothy, for hay (cut 2)","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P",Aboveground biomass,Forage,ton,2000,9.00,2.80,0.21,0.00,,
"Alfalfa, for green chop",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,76.50,3.21,0.28,2.61,,
"Alfalfa, for green chop (early bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,76.18,3.35,0.29,2.72,,
"Alfalfa, for green chop (early bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,76.10,2.95,0.31,3.10,,
"Alfalfa, for green chop (early bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,74.60,2.86,0.38,2.95,,
"Alfalfa, for green chop (early bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,74.35,3.29,0.00,0.00,,
"Alfalfa, for green chop (full bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.05,2.80,0.27,2.89,,
"Alfalfa, for green chop (full bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.30,2.53,0.40,2.88,,
"Alfalfa, for green chop (full bloom, cut 2)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,71.40,2.26,0.00,0.00,,
"Alfalfa, for green chop (full bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,71.20,2.21,0.00,0.00,,
"Alfalfa, for green chop (mid bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.08,3.16,0.29,2.71,,
"Alfalfa, for green chop (mid bloom, cut 1)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,77.90,2.50,0.00,0.00,,
"Alfalfa, for green chop (mid bloom, cut 2)",Medicago sativa,MESA,"P,K",Aboveground biomass,Forage,ton,2000,76.80,0.00,0.43,3.25,,
"Alfalfa, for green chop (pre bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,78.34,3.49,0.34,2.27,,
"Alfalfa, for green chop (pre bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,82.90,3.49,0.39,3.40,,
"Alfalfa, for green chop (pre bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,76.95,3.38,0.38,3.39,,
"Alfalfa, for green chop (pre bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,76.80,3.92,0.00,0.00,,
"Alfalfa, for hay",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.65,2.79,0.26,2.12,,
"Alfalfa, for hay (cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.90,2.62,0.35,2.48,,
"Alfalfa, for hay (cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.35,2.86,0.29,1.92,,
"Alfalfa, for hay (cut 3)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,10.30,2.97,0.19,2.47,,
"Alfalfa, for hay (early bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,10.58,3.05,0.23,2.34,,
"Alfalfa, for hay (early bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.30,2.74,0.26,2.47,,
"Alfalfa, for hay (early bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,12.00,3.17,0.26,2.54,,
"Alfalfa, for hay (early bloom, cut 3)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,12.95,3.25,0.27,2.84,,
"Alfalfa, for hay (full bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,11.12,2.62,0.24,1.76,,
"Alfalfa, for hay (full bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,15.25,2.39,0.22,1.99,,
"Alfalfa, for hay (full bloom, cut 2)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,12.70,2.59,0.00,0.00,,
"Alfalfa, for hay (full bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,12.35,1.96,0.00,0.00,,
"Alfalfa, for hay (mid bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,10.76,2.81,0.25,1.78,,
"Alfalfa, for hay (mid bloom, cut 1)",Medicago sativa,MESA,"N,P",Aboveground biomass,Forage,ton,2000,11.05,2.42,0.25,0.00,,
"Alfalfa, for hay (mid bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.20,2.74,0.31,3.25,,
"Alfalfa, for hay (mid bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,11.60,3.01,0.00,0.00,,
"Alfalfa, for hay (pre bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,11.34,3.39,0.34,2.44,,
"Alfalfa, for hay (pre bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,17.40,2.53,0.29,2.80,,
"Alfalfa, for hay (pre bloom, cut 2)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,14.00,2.50,0.00,0.00,,
"Alfalfa, for hay (pre bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,15.40,3.17,0.00,0.00,,
"Alfalfa, for hay (late vegetative, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,12.40,3.18,0.28,2.80,,
"Alfalfa, for hay (late vegetative, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,13.00,3.22,0.37,3.39,,
"Alfalfa, for hay (late vegetative, cut 3)",Medicago sativa,MESA,"N,P",Aboveground biomass,Forage,ton,2000,14.00,3.06,0.22,0.00,,
"Alfalfa, for seed",Medicago sativa,MESA,N,Seed,Forage,cwt,100,11.70,6.01,0.00,0.00,,
"Alfalfa, for silage (tenth bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.90,3.34,0.38,2.88,,
Almonds (without shell),Prunus dulcis,PRDU,"N,P,K",Seed,Tree and fruit,lb of seed,1,4.42,3.34,0.54,0.77,,
Alomond (with shell),Prunus dulcis,PRDU,N,Fruit,Tree and fruit,lb of fruit,1,15.00,3.30,0.00,0.00,,
Apple,Malus sp.,MALUS,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.78,0.34,0.05,0.75,,
Apricot,Prunus armeniaca,PRAR3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.35,1.64,0.14,2.17,,
"Artichoke-Globe, for bud",Cynara scolymus,CYSC2,"N,P,K",Bud,Vegetable,lb of fruit ,1,83.00,2.54,0.51,2.00,,
"Artichoke-Jerusalum, for tuber",Helianthus tuberosus,HETU,"N,P,K",Tuber,Vegetable,lb of tuber,1,80.07,1.52,0.30,2.02,,
"Asparagus-Green, for shoot or spear (immature)",Asparagus officinalis,ASOF,"N,P",Shoot (immature),Vegetable,lb of stem ,1,92.00,5.55,0.69,0.00,,
"Asparagus-White, for shoot or spear (immature)",Asparagus officinalis,ASOF,"N,P",Shoot (immature),Vegetable,lb of stem ,1,93.00,4.34,0.74,0.00,,
Avocado (all varieties),Persea americana,PEAM3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,74.27,1.23,0.16,2.33,,
Avocado (Florida),Persea americana,PEAM3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,79.73,1.26,0.19,2.41,,
Avocadoe (California),Persea americana,PEAM3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,72.56,1.23,0.15,2.31,,
"Bahiagrass, for green chop",Paspalum notatum,PANO2,"N,P,K",Aboveground biomass,Forage,ton,2000,69.70,1.32,0.17,2.06,,
"Bahiagrass, for hay",Paspalum notatum,PANO2,"N,P",Aboveground biomass,Forage,ton,2000,9.83,1.52,0.20,0.00,,
"Bahiagrass, for hay (mature)",Paspalum notatum,PANO2,N,Fruit,Forage,ton,2000,9.10,0.75,0.00,0.00,,
Banana,Musa sp.,MUSA2,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,74.26,0.64,0.08,1.54,,
"Barley-2 row, for grain",Hordeum vulgare,HOVU,"N,P,K",Floret,Cereal and oil,bu,48,13.30,2.32,0.35,0.49,,
"Barley-2 row, for straw",Hordeum vulgare,HOVU,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,72,9.20,0.69,0.08,2.11,,
"Barley-6 row, for grain (excluding Pacific Coast)",Hordeum vulgare,HOVU,"N,P,K",Floret,Cereal and oil,bu,48,11.72,2.11,0.42,0.54,,
"Barley-6 row, for grain (Pacific coast only)",Hordeum vulgare,HOVU,"N,P,K",Floret,Cereal and oil,bu,48,10.77,1.61,0.38,0.58,,
"Barley-6 row, for green chop (boot)",Hordeum vulgare,HOVU,"N,P,K",Aboveground biomass,Forage,ton,2000,79.65,2.20,0.37,1.58,,
"Barley-6 row, for hay",Hordeum vulgare,HOVU,"N,P,K",Aboveground biomass,Forage,ton,2000,11.28,1.42,0.26,1.49,,
"Barley-6 row, for straw",Hordeum vulgare,HOVU,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,72,11.25,0.69,0.10,1.79,,
"Bean, for seed (dry)",Phaseolus sp.,PHASE,"N,P,K",Seed,Vegetable,cwt,100,11.40,4.22,0.54,2.69,,
"Bean-Faba, for pod with seeds (immature)",Vicia faba,VIFA,"N,P,K",Fruit,Vegetable,lb of fruit,1,81.00,4.72,0.50,1.32,,
"Bean-Kidney, for seed",Phaseolus vulgaris,PHVU,"N,P,K",Seed,Vegetable,cwt,100,10.75,3.99,0.44,1.07,,
"Bean-Kidney, for straw",Phaseolus vulgaris,PHVU,"N,P,K",Straw,Vegetable,lb straw/cwt grain,76.14,12.30,1.27,0.15,1.59,,
"Bean-Lima(baby), for pod with seeds",Phaseolus lunatus,PHLU2,"N,P",Fruit,Vegetable,lb of fruit,1,69.00,3.66,0.56,0.00,,
"Bean-Lima, for pod with seeds",Phaseolus lunatus,PHLU2,"N,P,K",Fruit,Vegetable,lb of fruit,1,71.00,3.48,0.50,0.90,,
"Bean-Lima, for seed",Phaseolus lunatus,PHLU2,"N,P,K",Seed,Vegetable,cwt,100,9.98,3.59,0.41,1.85,,
"Bean-Lima, for straw",Phaseolus lunatus,PHLU2,"N,P,K",Straw,Vegetable,ton,2000,10.95,1.20,0.14,1.14,,
"Bean-Navy, for seed",Phaseolus vulgaris,PHVU,"N,P,K",Seed,Vegetable,cwt,100,10.38,4.03,0.61,1.43,,
"Bean-Navy, for straw",Phaseolus vulgaris,PHVU,"N,P,K",Straw,Vegetable,lb straw/cwt grain,76.14,10.93,1.16,0.15,1.14,,
Bean-Snap for seed (dry),Phaseolus vulgaris,PHVU,N,Seed,Vegetable,cwt,100,10.00,4.00,0.00,0.00,,
"Bean-Snap, for pod with seeds (immature)",Phaseolus vulgaris,PHVU,"N,P,K",Fruit,Vegetable,lb of fruit,1,87.75,3.00,0.50,2.30,,
Beechnut (dry),Fagus grandifolia,FAGR,N,Nut,Tree and fruit,lb of nut,1,6.60,1.06,0.00,0.00,,
"Beet-Red Table, for root",Beta vulgaris,BEVU2,"N,P,K",Root,Vegetable,lb of root,1,87.46,2.15,0.32,2.46,,
"Beet-Red Table, for top",Beta vulgaris,BEVU2,"N,P,K",Stem and leaf,Vegetable,lb of leaf,1,87.95,3.69,0.44,6.26,,
"Bentgrass-Colonial, for hay",Agrostis capillaris,AGCA5,"N,P,K",Aboveground biomass,Forage,ton,2000,13.10,1.14,0.20,1.60,,
"Bermudagrass, for green chop",Cynodon dactylon,CYDA,"N,P,K",Aboveground biomass,Forage,ton,2000,70.88,1.88,0.19,1.96,,
"Bermudagrass, for green chop (early to mid bloom)",Cynodon dactylon,CYDA,"N,P,K",Aboveground biomass,Forage,ton,2000,68.33,1.74,0.21,1.74,,
"Bermudagrass, for green chop (full bloom to mature)",Cynodon dactylon,CYDA,"N,P,K",Aboveground biomass,Forage,ton,2000,68.33,1.52,0.19,1.30,,
"Bermudagrass, for green chop (pre bloom)",Cynodon dactylon,CYDA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.00,2.75,0.23,2.13,,
"Bermudagrass, for hay",Cynodon dactylon,CYDA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.05,1.37,0.19,1.55,,
"Bermudagrass, for hay (early to mid bloom)",Cynodon dactylon,CYDA,N,Aboveground biomass,Forage,ton,2000,11.05,1.61,0.00,0.00,,
"Bermudagrass, for hay (full bloom to mature)",Cynodon dactylon,CYDA,N,Aboveground biomass,Forage,ton,2000,11.40,1.20,0.00,0.00,,
"Bermudagrass, for hay (pre bloom)",Cynodon dactylon,CYDA,N,Aboveground biomass,Forage,ton,2000,12.20,2.35,0.00,0.00,,
Blackberry,Rubus sp.,RUBUS,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,85.64,0.80,0.15,1.36,,
Blackeye pea or Cowpea or Southern Pea,Vigna unguiculata ssp. unguiculata,VIUNU,"N,P,K",Seed,Vegetable,cwt,100,85.00,3.52,0.52,1.47,,
Blueberry,Vaccinium sp.,VACCI,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,84.61,0.70,0.06,0.58,,
"Bluegrass, for green chop",Poa sp.,POA,"N,P,K",Aboveground biomass,Forage,ton,2000,68.85,2.91,0.43,1.95,,
"Bluegrass, for green chop (early bloom)",Poa sp.,POA,"N,P,K",Aboveground biomass,Forage,ton,2000,64.30,2.35,0.29,2.14,,
"Bluegrass, for green chop (full bloom)",Poa sp.,POA,"N,P,K",Aboveground biomass,Forage,ton,2000,67.10,1.17,0.27,1.37,,
"Bluegrass, for green chop (mid bloom)",Poa sp.,POA,"N,P,K",Aboveground biomass,Forage,ton,2000,70.70,2.00,0.31,1.97,,
"Bluegrass, for hay",Poa sp.,POA,"N,P,K",Aboveground biomass,Forage,ton,2000,10.30,1.76,0.27,1.72,,
"Bluegrass, for hay (full bloom)",Poa sp.,POA,N,Aboveground biomass,Forage,ton,2000,11.10,1.68,0.00,0.00,,
"Bluegrass-Kentucky, for green chop",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,70.47,2.60,0.40,1.97,,
"Bluegrass-Kentucky, for green chop (early bloom)",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,65.07,2.66,0.37,2.01,,
"Bluegrass-Kentucky, for green chop (full bloom)",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,65.35,2.12,0.28,2.01,,
"Bluegrass-Kentucky, for green chop (mature)",Poa pratensis,POPR,N,Aboveground biomass,Forage,ton,2000,66.60,1.29,0.00,0.00,,
"Bluegrass-Kentucky, for green chop (mid bloom)",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,69.38,2.30,0.31,1.99,,
"Bluegrass-Kentucky, for hay",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,10.95,1.60,0.28,1.92,,
"Bluegrass-Kentucky, for hay (early bloom)",Poa pratensis,POPR,N,Aboveground biomass,Forage,ton,2000,10.00,1.95,0.00,0.00,,
"Bluegrass-Kentucky, for hay (full bloom)",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,7.90,1.42,0.27,1.52,,
"Bluegrass-Kentucky, for hay (mature)",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,11.86,1.01,0.23,1.70,,
"Bluegrass-Kentucky, for hay (mid bloom)",Poa pratensis,POPR,"N,P",Aboveground biomass,Forage,ton,2000,13.45,1.72,0.24,0.00,,
"Bluestem, for green chop",Andropogon sp.,ANDRO2,"N,P,K",Aboveground biomass,Forage,ton,2000,60.35,1.35,0.15,1.35,,
"Bluestem, for green chop (early bloom)",Andropogon sp.,ANDRO2,N,Aboveground biomass,Forage,ton,2000,65.80,1.68,0.00,0.00,,
"Bluestem, for green chop (full bloom)",Andropogon sp.,ANDRO2,"N,P",Aboveground biomass,Forage,ton,2000,29.60,0.00,0.13,0.00,,
"Bluestem, for green chop (mature)",Andropogon sp.,ANDRO2,"N,P,K",Aboveground biomass,Forage,ton,2000,42.52,1.01,0.13,0.51,,
"Bluestem, for hay",Andropogon sp.,ANDRO2,N,Aboveground biomass,Forage,ton,2000,10.83,0.90,0.00,0.00,,
"Bluestem, for hay (early bloom)",Andropogon sp.,ANDRO2,N,Aboveground biomass,Forage,ton,2000,20.00,1.40,0.00,0.00,,
"Bluestem, for hay (full bloom)",Andropogon sp.,ANDRO2,N,Aboveground biomass,Forage,ton,2000,20.00,1.10,0.00,0.00,,
"Bluestem, for hay (mature)",Andropogon sp.,ANDRO2,N,Aboveground biomass,Forage,ton,2000,20.00,0.70,0.00,0.00,,
"Brazilnut (dry, unblanched)",Bertholletia excelsa,BEEX2,"N,P,K",Nut,Tree and fruit,lb of nut,1,3.34,2.37,0.62,0.62,,
Breadfruit,Artocarpus altilis,ARAL7,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,70.65,0.58,0.10,1.67,,
"Broccoli, for stem",Brassica oleracea var. italica,BROLI,N,Stem,Vegetable,lb of stem ,1,54.90,3.38,0.00,0.00,,
"Broccoli, for stem and immature floral parts",Brassica oleracea var. italica,BROLI,"N,P,K",Stem and floral parts,Vegetable,lb of stem ,1,89.70,5.65,0.75,3.55,,
"Bromegrass, for green chop",Bromus sp.,BROMU,"N,P,K",Aboveground biomass,Forage,ton,2000,64.40,2.14,0.29,2.19,,
"Bromegrass, for green chop (late bloom)",Bromus sp.,BROMU,N,Aboveground biomass,Forage,ton,2000,72.60,1.79,0.00,0.00,,
"Bromegrass, for green chop (mature)",Bromus sp.,BROMU,"N,P,K",Aboveground biomass,Forage,ton,2000,44.00,1.02,0.26,1.25,,
"Bromegrass, for hay",Bromus sp.,BROMU,"N,P,K",Aboveground biomass,Forage,ton,2000,8.93,1.53,0.16,1.64,,
"Bromegrass, for hay (early bloom)",Bromus sp.,BROMU,"N,P,K",Aboveground biomass,Forage,ton,2000,7.10,1.74,0.33,1.91,,
"Bromegrass, for hay (mature)",Bromus sp.,BROMU,"N,P,K",Aboveground biomass,Forage,ton,2000,8.63,1.06,0.09,1.90,,
"Bromegrass, for seed",Bromus sp.,BROMU,"N,K",Floret,Forage,cwt,100,55.80,1.55,0.00,0.93,,
"Bromegrass-Smooth, for green chop",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,67.60,2.18,0.32,3.16,,
"Bromegrass-Smooth, for green chop (full bloom)",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,71.30,1.89,0.28,2.33,,
"Bromegrass-Smooth, for green chop (mature)",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,45.50,0.84,0.19,0.34,,
"Bromegrass-Smooth, for green chop (mid bloom)",Bromus inermis,BRIN2,N,Aboveground biomass,Forage,ton,2000,70.00,2.24,0.00,0.00,,
"Bromegrass-Smooth, for green chop (pre bloom)",Bromus inermis,BRIN2,N,Aboveground biomass,Forage,ton,2000,74.70,3.02,0.00,0.00,,
"Bromegrass-Smooth, for hay",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,10.48,2.03,0.23,2.20,,
"Bromegrass-Smooth, for hay (full bloom)",Bromus inermis,BRIN2,"N,K",Aboveground biomass,Forage,ton,2000,10.63,1.66,0.00,1.43,,
"Bromegrass-Smooth, for hay (mature)",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,6.83,0.98,0.19,2.31,,
"Bromegrass-Smooth, for hay (mid bloom)",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,12.40,1.97,0.28,1.99,,
