Crop,ScientificName,Symbol,Contents Available,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),Average Moisture %,Average Sodium % (dry),Average Phosphorus % (dry),Average Potassium % (dry),,
"Squash-Chinese wintermelon, for mature fruit (winter)",Benincasa hispida,BEHI3,"N,P,K",Fruit,Vegetable,lb of fruit ,1,96.00,0.80,0.18,5.00,,
"Squash-Chinese, for immature fruit (summer)",Benincasa hispida,BEHI3,"N,P",Fruit,Vegetable,lb of fruit ,1,94.00,2.67,0.38,0.00,,
"Squash-Crockneck, for immature fruit (summer)",Cucurbita pepo var. melopepo,CUPEM,"N,P,K",Fruit,Vegetable,lb of fruit ,1,92.00,2.80,0.48,2.38,,
"Squash-Hubbard, for mature fruit (winter)",Cucurbita maxima,CUMA3,"N,P,K",Fruit,Vegetable,lb of fruit ,1,88.00,2.67,0.18,2.67,,
"Squash-Pink Banana, for mature fruit (winter)",Cucurbita maxima,CUMA3,"N,P,K",Fruit,Vegetable,lb of fruit ,1,91.00,3.56,0.42,3.67,,
"Squash-Scallop, for immature fruit (summer)",Cucurbita pepo var. melopepo,CUPEM,"N,P,K",Fruit,Vegetable,lb of fruit ,1,93.00,2.74,0.51,2.14,,
"Squash-Zucchini, for immature fruit (summer)",Cucurbita pepo var. melopepo,CUPEM,"N,P,K",Fruit,Vegetable,lb of fruit ,1,95.00,3.84,0.64,4.40,,
Strawberry,Fragaria X ananassa var. ananassa,FRANA2,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,91.28,1.25,0.21,1.97,,
Sugar apple,Annona squamosa,ANSQ,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,73.23,1.23,0.12,0.92,,
"Sugarbeet, root with crown",Beta vulgaris,BEVU2,"N,P,K",Crown and root,Fiber and miscellaneous,ton,2000,80.30,1.34,0.24,1.52,,
"Sugarbeet, root without crown",Beta vulgaris,BEVU2,"N,P,K",Root,Fiber and miscellaneous,ton,2000,79.28,1.05,0.22,1.54,,
"Sugarbeet, top with crown",Beta vulgaris,BEVU2,"N,P,K",Crown and aboveground biomass,Fiber and miscellaneous,ton,2000,83.03,2.43,0.23,5.79,,
"Sugarbeet, top without crown",Beta vulgaris,BEVU2,"N,P,K",Aboveground biomass,Fiber and miscellaneous,ton,2000,82.10,2.46,0.22,5.79,,
"Sugarcane, cane top + trash",Saccharum sp.,SACCH,"N,P,K",Leaf,Fiber and miscellaneous,ton,2000,73.83,0.87,0.24,2.96,,
"Sugarcane, millable cane (less than 12 month crop)",Saccharum sp.,SACCH,"N,P,K",Stem,Fiber and miscellaneous,ton,2000,35.00,0.09,0.02,0.23,,
"Sugarcane, millable cane and trash (less than 12 month crop)",Saccharum sp.,SACCH,"N,P,K",Stem and leaf,Fiber and miscellaneous,ton,2000,35.00,0.11,0.02,0.17,,
"Sunflower, for seed (with hull, confection type)",Helianthus annuus,HEAN3,"N,P,K",Fruit,Cereal and oil,cwt,100,7.36,3.13,0.62,0.73,,
"Sunflower, for seed (with hull, oil type)",Helianthus annuus,HEAN3,"N,P,K",Fruit,Cereal and oil,cwt,100,7.36,2.99,0.63,0.72,,
"Sunflower, for stover (yield less than 500 lb/acre)",Helianthus annuus,HEAN3,"N,P,K",Stover,Cereal and oil,lb stover/cwt fruit,100,13.30,0.86,0.11,1.94,,
"Sunflower, for stover (yield more than 500 lb/acre)",Helianthus annuus,HEAN3,"N,P,K",Stover,Cereal and oil,lb stover/cwt fruit,150,13.30,0.86,0.11,1.94,,
"Sweet Potato, for root",Ipomoea batatas,IPBA2,"N,P,K",Root,Vegetable,lb of root,1,68.85,0.91,0.15,1.04,,
"Sweet Potato, for vine",Ipomoea batatas,IPBA2,N,Aboveground biomass,Vegetable,ton,2000,78.10,2.05,0.00,0.00,,
"Sweetclover, for green chop",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,75.00,2.87,0.27,1.65,,
"Sweetclover, for green chop (full bloom)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,67.30,2.69,0.22,1.44,,
"Sweetclover, for green chop (mid bloom)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,70.80,2.69,0.24,1.44,,
"Sweetclover, for green chop (pre bloom)",Melilotus sp.,MELIL,"N,P",Aboveground biomass,Forage,ton,2000,79.20,3.15,0.48,0.00,,
"Sweetclover, for green chop (vegetative)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,80.30,3.47,0.44,2.95,,
"Sweetclover, for hay",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,10.42,2.65,0.24,1.65,,
"Sweetclover, for hay (early bloom)",Melilotus sp.,MELIL,N,Aboveground biomass,Forage,ton,2000,17.40,2.77,0.00,0.00,,
"Sweetclover, for hay (full bloom)",Melilotus sp.,MELIL,N,Aboveground biomass,Forage,ton,2000,11.10,2.06,0.00,0.00,,
"Sweetclover, for hay (mature)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,8.95,1.82,0.19,0.80,,
"Sweetclover, for hay (vegetative)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,9.80,2.58,0.30,1.78,,
"Sweetclover, for seed",Melilotus sp.,MELIL,N,Seed,Forage,cwt,100,7.80,6.49,0.00,0.00,,
"Sweetclover, for silage",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,70.70,2.86,0.21,1.96,,
"Sweetclover, for silage (early bloom)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,72.80,3.42,0.25,1.95,,
"Sweetclover, for silage (full bloom)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,68.60,2.99,0.24,1.70,,
"Sweetclover, for silage (pre bloom)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,65.20,3.44,0.25,1.95,,
"Switchgrass, for green chop",Panicum virgatum,PAVI2,"N,P",Aboveground biomass,Forage,ton,2000,44.85,0.94,0.09,0.00,,
"Switchgrass, for green chop ( mature)",Panicum virgatum,PAVI2,"N,P,K",Aboveground biomass,Forage,ton,2000,58.07,0.82,0.15,1.97,,
"Switchgrass, for green chop (full bloom)",Panicum virgatum,PAVI2,"N,P",Aboveground biomass,Forage,ton,2000,60.40,1.01,0.12,0.00,,
"Switchgrass, for green chop (over ripe)",Panicum virgatum,PAVI2,"N,P",Aboveground biomass,Forage,ton,2000,23.30,0.30,0.05,0.00,,
"Switchgrass, for green chop (vegetative)",Panicum virgatum,PAVI2,"N,P,K",Aboveground biomass,Forage,ton,2000,67.27,1.64,0.22,2.85,,
Tamarind,Tamarindus indica,TAIN2,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,31.40,0.65,0.16,0.92,,
Tangerine,Citrus reticulata,CIRE3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,87.60,0.81,0.08,1.27,,
"Taro, for corm",Colocasia esculenta,COES,"N,P",Corm,Vegetable,lb of corm,1,72.00,0.86,0.27,0.00,,
"Taro-Pink, for corm",Colocasia esculenta,COES,"N,P,K",Corm,Vegetable,lb of corm,1,80.00,0.80,0.54,2.50,,
"Taro-White, for corm",Colocasia esculenta,COES,"N,P,K",Corm,Vegetable,lb of corm,1,82.00,1.78,0.33,3.94,,
"Timothy + Alfalfa, for green chop (50% alfalfa)","Medicago Sativa, Phleum pratense","MESA, PHPR3","N,P,K",Aboveground biomass,Forage,ton,2000,78.08,3.36,0.37,2.24,,
"Timothy + Alfalfa, for hay","Medicago Sativa, Phleum pratense","MESA, PHPR3","N,P,K",Aboveground biomass,Forage,ton,2000,10.37,2.17,0.21,2.16,,
"Timothy + Alfalfa, for hay (cut 1)","Medicago Sativa, Phleum pratense","MESA, PHPR3","N,P",Aboveground biomass,Forage,ton,2000,9.80,1.79,0.14,0.00,,
"Timothy + Alfalfa, for hay (cut 2)","Medicago Sativa, Phleum pratense","MESA, PHPR3","N,P",Aboveground biomass,Forage,ton,2000,9.00,2.80,0.21,0.00,,
"Timothy + Clover, for hay","Phleum pratense, Trifolium sp.","PHPR3, TRIFO","N,P,K",Aboveground biomass,Forage,ton,2000,11.10,1.49,0.17,1.81,,
"Timothy + Clover-Red, for hay","Phleum pratense, Trifolium partense","PHPR3, TRPR2","P,K",Aboveground biomass,Forage,ton,2000,9.60,0.00,0.17,1.52,,
"Timothy + Clover-White-Ladino type, for silage","Phleum pratense, Trifolium repens","PHPR3, TRRE3","N,P,K",Aboveground biomass,Forage,ton,2000,70.60,3.17,0.20,2.22,,
"Timothy, for green chop",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,72.40,2.05,0.38,2.09,,
"Timothy, for green chop (early to mid bloom)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,73.05,1.58,0.30,2.06,,
"Timothy, for green chop (late bloom)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,73.65,1.07,0.21,1.68,,
"Timothy, for green chop (mature)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,69.60,0.96,0.18,1.57,,
"Timothy, for green chop (vegetative)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,74.45,2.41,0.43,2.54,,
"Timothy, for hay",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,9.48,1.20,0.17,1.63,,
"Timothy, for hay (full bloom)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,12.20,1.21,0.23,1.83,,
"Timothy, for hay (mature)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,13.08,0.95,0.17,1.59,,
"Timothy, for hay (mid bloom)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,11.96,1.54,0.22,1.82,,
"Timothy, for hay (pre bloom)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,12.28,2.05,0.40,3.05,,
"Timothy, for hay (vegetative)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,13.65,2.25,0.34,1.90,,
"Timothy, for silage",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,66.70,1.70,0.29,1.69,,
"Timothy, for silage (boot)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,66.30,1.50,0.24,1.59,,
"Timothy, for silage (early bloom)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,63.70,1.63,0.29,1.69,,
"Timothy, for silage (full bloom)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,64.30,1.55,0.29,1.69,,
"Timothy, for silage (milk stage)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,58.50,1.34,0.29,1.69,,
"Timothy, for silage (pre bloom)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,73.10,1.92,0.29,1.69,,
"Timothy, for silage (vegetative)",Phleum pratense,PHPR3,"N,P,K",Aboveground biomass,Forage,ton,2000,70.30,1.87,0.32,1.69,,
"Tobacco-Air cured, Burley type",Nicotiana tabacum,NITA,"N,P,K",Stalk and leaf,Fiber and miscellaneous,cwt,100,25.00,4.00,0.31,3.86,,
"Tobacco-Air cured, Havana Seed type",Nicotiana tabacum,NITA,"N,P,K",Leaf,Fiber and miscellaneous,cwt,100,78.50,3.85,0.17,2.90,,
"Tobacco-Air cured, Maryland Broadleaf  type",Nicotiana tabacum,NITA,N,Stalk and leaf,Fiber and miscellaneous,cwt,100,18.00,3.10,0.00,0.00,,
Tobacco-Flue-cured,Nicotiana tabacum,NITA,"N,P,K",Leaf,Fiber and miscellaneous,cwt,100,20.00,2.13,0.27,1.99,,
Tomato,Solanum lycopersicum var. lycopersicum,SOLYL,"N,P,K",Fruit,Vegetable,lb of fruit ,1,94.00,2.56,0.47,4.28,,
"Trefoil-Birdsfoot, for green chop",Lotus corniculatus,LOCO6,"N,P,K",Aboveground biomass,Forage,ton,2000,80.13,3.16,0.24,2.79,,
"Trefoil-Birdsfoot, for green chop (early bloom)",Lotus corniculatus,LOCO6,N,Aboveground biomass,Forage,ton,2000,75.00,3.20,0.00,0.00,,
"Trefoil-Birdsfoot, for green chop (mid bloom to full bloom)",Lotus corniculatus,LOCO6,"N,P,K",Aboveground biomass,Forage,ton,2000,78.00,2.63,0.27,2.98,,
"Trefoil-Birdsfoot, for hay",Lotus corniculatus,LOCO6,"N,P,K",Aboveground biomass,Forage,ton,2000,9.97,2.52,0.23,1.89,,
"Trefoil-Birdsfoot, for hay (early bloom)",Lotus corniculatus,LOCO6,N,Aboveground biomass,Forage,ton,2000,12.80,3.11,0.00,0.00,,
"Trefoil-Birdsfoot, for hay (mid bloom to full bloom)",Lotus corniculatus,LOCO6,N,Aboveground biomass,Forage,ton,2000,10.70,2.25,0.00,0.00,,
"Triticale, for grain",X Triticosecale rimpaui,TRRI8,"N,P,K",Caryopsis,Cereal and oil,bu,48,10.95,2.45,0.34,0.57,,
"Turnip, for green chop",Brassica rapa var. rapa,BRRAR,"N,P,K",Aboveground biomass,Forage,ton,2000,86.53,3.30,0.42,3.02,,
"Turnip, for green chop",Brassica rapa var. rapa,BRRAR,"N,P,K",Leaf,Vegetable,lb of leaf,1,87.30,3.49,0.51,3.00,,
"Turnip, for root",Brassica rapa var. rapa,BRRAR,"N,P,K",Root,Vegetable,lb of root,1,91.06,2.24,0.32,2.73,,
"Vetch, for seed",Vicia sp.,VICIA,"N,P",Seed,Forage,lb of seed,1,9.55,4.61,0.59,0.00,,
"Vetch-Common, for green chop",Vica sativa,VISA,"N,P,K",Aboveground biomass,Forage,ton,2000,79.70,2.98,0.33,2.50,,
"Vetch-Common, for green chop (early bloom)",Vica sativa,VISA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.00,3.70,0.26,3.15,,
"Vetch-Common, for green chop (full bloom)",Vica sativa,VISA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.00,3.00,0.35,2.51,,
"Vetch-Common, for hay",Vica sativa,VISA,"N,P,K",Aboveground biomass,Forage,ton,2000,12.20,2.60,0.36,2.24,,
"Vetch-Common, for hay (early bloom)",Vica sativa,VISA,N,Aboveground biomass,Forage,ton,2000,16.00,3.55,0.00,0.00,,
"Vetch-Common, for hay (full bloom)",Vica sativa,VISA,N,Aboveground biomass,Forage,ton,2000,14.70,2.94,0.00,0.00,,
"Vetch-Hairy, for green chop (mid bloom)",Vica villosa,VIVI,"N,P,K",Aboveground biomass,Forage,ton,2000,78.25,3.75,0.33,2.25,,
"Vetch-Hairy, for hay",Vica villosa,VIVI,"N,P,K",Aboveground biomass,Forage,ton,2000,12.10,3.68,0.36,2.23,,
"Vetch-Hairy, for hay (vegetative)",Vica villosa,VIVI,"N,P,K",Aboveground biomass,Forage,ton,2000,11.50,3.62,0.36,2.09,,
"Walnut-Black, for seed extracted from nut",Juglans nigra,JUNI,"N,P,K",Nut,Tree and fruit,lb of nut,1,4.36,4.07,0.49,0.55,,
Walnut-English or Persian,Juglans regia,JURE80,"N,P,K",Nut,Tree and fruit,lb of nut,1,3.65,2.37,0.33,0.52,,
"Wheat, for green chop",Triticum sp.,TRITI,"N,P",Aboveground biomass,Forage,ton,2000,73.55,2.34,0.31,0.00,,
"Wheat, for green chop (milk stage)",Triticum sp.,TRITI,N,Aboveground biomass,Forage,ton,2000,73.40,1.92,0.00,0.00,,
"Wheat, for hay",Triticum sp.,TRITI,"N,P,K",Aboveground biomass,Forage,ton,2000,11.30,1.25,0.20,1.20,,
"Wheat, for hay (dough stage)",Triticum sp.,TRITI,N,Aboveground biomass,Forage,ton,2000,17.45,1.28,0.00,0.00,,
"Wheat, for hay (mature)",Triticum sp.,TRITI,"N,P",Aboveground biomass,Forage,ton,2000,12.75,1.23,0.20,0.00,,
"Wheat, for hay (milk stage)",Triticum sp.,TRITI,N,Aboveground biomass,Forage,ton,2000,15.70,1.46,0.00,0.00,,
"Wheat-Bread-Hard Red Spring, for grain",Triticum aestivum,TRAE,"N,P,K",Caryopsis,Cereal and oil,bu,60,11.45,2.70,0.43,0.41,,
"Wheat-Bread-Hard Red Winter, for grain",Triticum aestivum,TRAE,"N,P,K",Caryopsis,Cereal and oil,bu,60,11.68,2.30,0.43,0.49,,
"Wheat-Bread-Soft Red Winter, for grain",Triticum aestivum,TRAE,"N,P,K",Caryopsis,Cereal and oil,bu,60,11.44,1.94,0.37,0.45,,
"Wheat-Bread-Soft White Winter, for grain",Triticum aestivum,TRAE,"N,P,K",Caryopsis,Cereal and oil,bu,60,11.41,1.80,0.37,0.49,,
"Wheat-Durum, for grain",Triticum durum,TRDU3,"N,P,K",Caryopsis,Cereal and oil,bu,60,11.83,2.43,0.42,0.50,,
"Wheatgrass, for green chop",Poaceae,None,N,Aboveground biomass,Forage,ton,2000,55.40,1.39,0.00,0.00,,
"Wheatgrass, for green chop (mature)",Poaceae,None,N,Aboveground biomass,Forage,ton,2000,39.50,1.44,0.00,0.00,,
"Wheatgrass, for green chop part (early bloom)",Poaceae,None,N,Aboveground biomass,Forage,ton,2000,63.40,1.46,0.00,0.00,,
"Wheatgrass, for hay",Poaceae,None,"N,P",Aboveground biomass,Forage,ton,2000,8.37,1.34,0.07,0.00,,
"Wheatgrass, for hay (early bloom)",Poaceae,None,"N,P,K",Aboveground biomass,Forage,ton,2000,8.00,1.38,0.27,2.67,,
"Wheatgrass, for hay (late bloom)",Poaceae,None,N,Aboveground biomass,Forage,ton,2000,10.20,0.85,0.00,0.00,,
"Wheatgrass, for hay (mature)",Poaceae,None,"N,P",Aboveground biomass,Forage,ton,2000,9.60,0.85,0.10,0.00,,
"Wheatgrass-Bluebunch, for hay (over ripe)",Pseudoroegneria spicata,PSSP6,N,Aboveground biomass,Forage,ton,2000,11.10,0.54,0.00,0.00,,
"Wheatgrass-Crested, for green chop",Agropyron sp.,AGROP2,"N,P,K",Aboveground biomass,Forage,ton,2000,54.25,1.87,0.14,1.72,,
"Wheatgrass-Crested, for green chop (early bloom)",Agropyron sp.,AGROP2,"N,P",Aboveground biomass,Forage,ton,2000,62.40,1.54,0.18,0.00,,
"Wheatgrass-Crested, for green chop (full bloom)",Agropyron sp.,AGROP2,"N,P,K",Aboveground biomass,Forage,ton,2000,61.27,1.19,0.15,1.04,,
"Wheatgrass-Crested, for green chop (mature)",Agropyron sp.,AGROP2,"N,P,K",Aboveground biomass,Forage,ton,2000,44.70,1.00,0.15,1.04,,
"Wheatgrass-Crested, for hay",Agropyron sp.,AGROP2,"N,P",Aboveground biomass,Forage,ton,2000,7.85,1.53,0.15,0.00,,
"Wheatgrass-Crested, for hay (early bloom)",Agropyron sp.,AGROP2,"N,P",Aboveground biomass,Forage,ton,2000,13.03,1.90,0.27,0.00,,
"Wheatgrass-Crested, for hay (full bloom)",Agropyron sp.,AGROP2,"N,P",Aboveground biomass,Forage,ton,2000,12.55,1.40,0.16,0.00,,
"Wheatgrass-Crested, for hay (mature)",Agropyron sp.,AGROP2,"N,P",Aboveground biomass,Forage,ton,2000,10.60,0.78,0.09,0.00,,
"Wheatgrass-Crested, for hay (mid bloom)",Agropyron sp.,AGROP2,N,Aboveground biomass,Forage,ton,2000,3.60,1.83,0.00,0.00,,
"Wheatgrass-Intermediate, for hay",Thinopyrum intermedium,THIN6,"N,P,K",Aboveground biomass,Forage,ton,2000,9.95,1.30,0.19,1.65,,
"Wheatgrass-Slender, for hay",Elymus trachycaulus,ELTR7,"N,P,K",Aboveground biomass,Forage,ton,2000,8.93,1.40,0.25,2.68,,
"Wheatgrass-Slender, for hay (early bloom)",Elymus trachycaulus,ELTR7,N,Aboveground biomass,Forage,ton,2000,5.40,1.94,0.00,0.00,,
"Wheatgrass-Slender, for hay (full bloom)",Elymus trachycaulus,ELTR7,N,Aboveground biomass,Forage,ton,2000,6.80,1.47,0.00,0.00,,
"Wheatgrass-Slender, for hay (vegetative)",Elymus trachycaulus,ELTR7,N,Aboveground biomass,Forage,ton,2000,7.10,2.88,0.00,0.00,,
"Wheatgrass-Tall, for hay",Thinopyrum ponticum,THPO7,N,Aboveground biomass,Forage,ton,2000,11.00,1.26,0.00,0.00,,
"Wheatgrass-Thickspike, for hay",Elymus lanceolatus,ELLA3,N,Aboveground biomass,Forage,ton,2000,8.00,1.20,0.00,0.00,,
"Wheatgrass-Western, for hay",Pascopyrum smithii,PASM,"N,P",Aboveground biomass,Forage,ton,2000,10.85,1.38,0.25,0.00,,
"Wheatgrass-Western, for hay (full bloom)",Pascopyrum smithii,PASM,N,Aboveground biomass,Forage,ton,2000,6.60,1.38,0.00,0.00,,
"Wheatgrass-Western, for hay (mature)",Pascopyrum smithii,PASM,"N,P",Aboveground biomass,Forage,ton,2000,10.10,0.74,0.08,0.00,,
"Wheatgrass-Western, for hay (vegetative)",Pascopyrum smithii,PASM,"N,P",Aboveground biomass,Forage,ton,2000,11.80,1.92,0.21,0.00,,
"Wheat-Spelt, for grain",Triticum spelta,TRSP3,"N,P",Caryopsis,Cereal and oil,bu,40,10.17,2.13,0.42,0.00,,
"Wheat-Spelt, for straw",Triticum spelta,TRSP3,N,Straw,Cereal and oil,lb straw/bu grain,80.475,17.25,0.53,0.00,0.00,,
"Wheat-Spring including Durum, for straw",Triticum sp.,TRITI,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,80.475,9.22,0.64,0.06,1.17,,
"Wheat-Winter, for straw",Triticum sp.,TRITI,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,92.475,9.22,0.64,0.06,1.17,,
"Wildrice, for grain",Zizania palustris,ZIPA3,"N,P,K",Caryopsis,Cereal and oil,lb of caryopsis,1,37.50,2.64,0.50,0.49,,
"Wildrice, for straw",Zizania palustris,ZIPA3,"N,P,K",Straw,Cereal and oil,lb straw/lb grain,1.31,9.20,0.81,0.11,0.79,,
Yam,Dioscorea sp.,DIOSC,"N,P,K",Tuber,Vegetable,lb of tuber,1,74.00,1.11,0.25,2.31,,
Barbados Cherry,Malpighia emarginata,MAEM,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,91.41,0.75,0.13,1.70,,
